                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3696,                 2.7393,                 1.7614,                0.67466,                0.81667,                0.88513,                0.63873,                 1.4264,                 1.3566,                 1.2711,                      0,                      0,                      0
                      2,                 1.2446,                 2.5582,                  1.441,                0.63729,                0.83263,                0.88556,                0.61685,                 1.4264,                 1.3811,                 1.2688,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.1381,                 4.1289,                 1.4972,                0.64125,                0.83333,                0.87164,                0.61037,                 1.4406,                 1.4148,                 1.2752,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.2657,                 2.6948,                 1.4399,                0.61668,                0.83333,                0.87144,                0.60155,                 1.4833,                 1.4428,                  1.301,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.3529,                 2.8633,                 1.6387,                0.55312,                0.83333,                0.87134,                0.58084,                   1.52,                 1.4905,                 1.3245,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                  1.619,                 4.7307,                 1.8932,                0.63488,                0.83333,                0.86787,                0.57872,                 1.5151,                 1.5233,                 1.3234,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.4283,                 2.0892,                 1.5813,                0.66286,                   0.75,                0.88185,                0.56691,                 1.5465,                 1.5863,                 1.3421,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.5861,                 3.2445,                  1.814,                0.81594,                0.56667,                0.88179,                0.54713,                 1.5526,                 1.6462,                 1.3602,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.0428,                 2.5805,                 1.3381,                0.80096,                0.57132,                 0.8818,                0.52899,                 1.5747,                 1.7146,                 1.3771,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.97988,                 3.2772,                 1.4887,                0.78653,                0.57411,                0.74382,                0.54276,                 1.5721,                 1.7401,                 1.3839,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.3274,                 2.6982,                 1.5297,                0.78017,                0.57883,                0.74283,                0.50734,                 1.5712,                 1.7516,                 1.3845,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0696,                   2.09,                 1.4137,                0.76216,                0.58333,                0.74275,                0.51509,                 1.5717,                 1.7836,                  1.385,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.96802,                 2.5279,                 1.2319,                0.72482,                0.58333,                 0.7414,                0.52269,                 1.5562,                  1.801,                 1.3751,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.4539,                 2.3489,                 1.8091,                0.67252,                0.58333,                 0.7428,                0.51456,                 1.5482,                 1.8232,                 1.3747,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.80973,                 1.6776,                 1.1188,                0.67883,                0.58333,                0.74294,                0.53131,                 1.5454,                 1.8472,                 1.3698,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.0815,                 2.0804,                 1.5168,                0.92528,                 0.3734,                0.74319,                0.53475,                 1.5518,                 1.8608,                 1.3689,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.82705,                 1.6684,                 1.1667,                0.92519,                0.37338,                0.66025,                0.49002,                 1.5446,                   1.89,                  1.367,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.1137,                  1.576,                 1.3395,                0.92519,                0.37338,                0.66025,                0.49002,                 1.5446,                   1.89,                  1.367,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                0.97527,                 1.6713,                 1.1608,                0.92399,                0.37333,                0.66042,                 0.5065,                 1.5718,                 1.9671,                 1.3771,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.0227,                 1.6093,                 1.3279,                0.92399,                0.37333,                0.66042,                 0.5065,                 1.5718,                 1.9671,                 1.3771,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.2372,                 2.6726,                 1.6323,                0.91828,                0.37314,                0.60436,                0.46269,                 1.5953,                 2.0392,                  1.396,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                  1.298,                 2.4146,                 1.6961,                0.91828,                0.37314,                0.60436,                0.46269,                 1.5953,                 2.0392,                  1.396,             1.9795e-05,             1.9795e-05,             1.9795e-05
